2026/06/21 14:00:50.285558 [QueueManager] POST /qm/lease took 20.661µs
2026/06/21 14:00:50.286020 [QueueManager] POST /qm/ack took 11.921µs
2026/06/21 14:00:50.485561 [QueueManager] POST /qm/lease took 18.771µs
2026/06/21 14:00:50.485993 [QueueManager] POST /qm/ack took 12.071µs
2026/06/21 14:00:50.685637 [QueueManager] POST /qm/lease took 23.121µs
2026/06/21 14:00:50.686051 [QueueManager] POST /qm/ack took 17.541µs
2026/06/21 14:00:50.885570 [QueueManager] POST /qm/lease took 18.271µs
2026/06/21 14:00:50.885964 [QueueManager] POST /qm/ack took 15.991µs
2026/06/21 14:00:51.085617 [QueueManager] POST /qm/lease took 24.092µs
2026/06/21 14:00:51.086025 [QueueManager] POST /qm/ack took 12.86µs
2026/06/21 14:00:51.285581 [QueueManager] POST /qm/lease took 16.931µs
2026/06/21 14:00:51.286035 [QueueManager] POST /qm/ack took 15.111µs
2026/06/21 14:00:51.485646 [QueueManager] POST /qm/lease took 21.181µs
2026/06/21 14:00:51.486077 [QueueManager] POST /qm/ack took 14.271µs
2026/06/21 14:00:51.685721 [QueueManager] POST /qm/lease took 23.221µs
2026/06/21 14:00:51.686137 [QueueManager] POST /qm/ack took 17.671µs
2026/06/21 14:00:51.885829 [QueueManager] POST /qm/lease took 17.471µs
2026/06/21 14:00:51.886248 [QueueManager] POST /qm/ack took 18.681µs
2026/06/21 14:00:51.887438 [QueueManager] POST /brokers/heartbeat took 8.57µs
2026/06/21 14:00:52.085936 [QueueManager] POST /qm/lease took 26.911µs
2026/06/21 14:00:52.086380 [QueueManager] POST /qm/ack took 17.471µs
2026/06/21 14:00:52.286160 [QueueManager] POST /qm/lease took 18.671µs
2026/06/21 14:00:52.286551 [QueueManager] POST /qm/ack took 12.221µs
2026/06/21 14:00:52.486150 [QueueManager] POST /qm/lease took 22.291µs
2026/06/21 14:00:52.486528 [QueueManager] POST /qm/ack took 14.561µs
2026/06/21 14:00:52.686176 [QueueManager] POST /qm/lease took 28.022µs
2026/06/21 14:00:52.686533 [QueueManager] POST /qm/ack took 12.52µs
2026/06/21 14:00:52.886105 [QueueManager] POST /qm/lease took 22.912µs
2026/06/21 14:00:52.886477 [QueueManager] POST /qm/ack took 12.5µs
2026/06/21 14:00:53.085933 [QueueManager] POST /qm/lease took 25.031µs
2026/06/21 14:00:53.086311 [QueueManager] POST /qm/ack took 11.59µs
2026/06/21 14:00:53.285970 [QueueManager] POST /qm/lease took 29.922µs
2026/06/21 14:00:53.286418 [QueueManager] POST /qm/ack took 16.641µs
2026/06/21 14:00:53.485932 [QueueManager] POST /qm/lease took 23.092µs
2026/06/21 14:00:53.486323 [QueueManager] POST /qm/ack took 12.08µs
2026/06/21 14:00:53.685856 [QueueManager] POST /qm/lease took 18.231µs
2026/06/21 14:00:53.686196 [QueueManager] POST /qm/ack took 11.751µs
2026/06/21 14:00:53.885812 [QueueManager] POST /qm/lease took 21.801µs
2026/06/21 14:00:53.886187 [QueueManager] POST /qm/ack took 12.591µs
2026/06/21 14:00:53.887349 [QueueManager] POST /brokers/heartbeat took 8.01µs
2026/06/21 14:00:54.085802 [QueueManager] POST /qm/lease took 23.952µs
2026/06/21 14:00:54.086154 [QueueManager] POST /qm/ack took 13.971µs
2026/06/21 14:00:54.285676 [QueueManager] POST /qm/lease took 16.491µs
2026/06/21 14:00:54.285982 [QueueManager] POST /qm/ack took 9.74µs
2026/06/21 14:00:54.485540 [QueueManager] POST /qm/lease took 17.101µs
2026/06/21 14:00:54.485863 [QueueManager] POST /qm/ack took 16.301µs
2026/06/21 14:00:54.685528 [QueueManager] POST /qm/lease took 16.551µs
2026/06/21 14:00:54.685903 [QueueManager] POST /qm/ack took 13.601µs
2026/06/21 14:00:54.885440 [QueueManager] POST /qm/lease took 18.031µs
2026/06/21 14:00:54.885800 [QueueManager] POST /qm/ack took 9.951µs
2026/06/21 14:00:55.085419 [QueueManager] POST /qm/lease took 23.311µs
2026/06/21 14:00:55.085819 [QueueManager] POST /qm/ack took 11.471µs
2026/06/21 14:00:55.285359 [QueueManager] POST /qm/lease took 22.782µs
2026/06/21 14:00:55.285774 [QueueManager] POST /qm/ack took 13.001µs
2026/06/21 14:00:55.485298 [QueueManager] POST /qm/lease took 23.112µs
2026/06/21 14:00:55.485767 [QueueManager] POST /qm/ack took 11.811µs
2026/06/21 14:00:55.685270 [QueueManager] POST /qm/lease took 20.972µs
2026/06/21 14:00:55.685652 [QueueManager] POST /qm/ack took 13.661µs
2026/06/21 14:00:55.885238 [QueueManager] POST /qm/lease took 32.281µs
2026/06/21 14:00:55.885695 [QueueManager] POST /qm/ack took 14.201µs
2026/06/21 14:00:55.886896 [QueueManager] POST /brokers/heartbeat took 11.331µs
2026/06/21 14:00:56.085305 [QueueManager] POST /qm/lease took 33.242µs
2026/06/21 14:00:56.085705 [QueueManager] POST /qm/ack took 14.651µs
2026/06/21 14:00:56.285280 [QueueManager] POST /qm/lease took 25.062µs
2026/06/21 14:00:56.285667 [QueueManager] POST /qm/ack took 10.88µs
2026/06/21 14:00:56.485134 [QueueManager] POST /qm/lease took 15.98µs
2026/06/21 14:00:56.485469 [QueueManager] POST /qm/ack took 13.491µs
2026/06/21 14:00:56.685890 [QueueManager] POST /qm/lease took 20.491µs
2026/06/21 14:00:56.686261 [QueueManager] POST /qm/ack took 10.381µs
2026/06/21 14:00:56.885868 [QueueManager] POST /qm/lease took 23.311µs
2026/06/21 14:00:56.886218 [QueueManager] POST /qm/ack took 11.52µs
2026/06/21 14:00:57.085831 [QueueManager] POST /qm/lease took 24.071µs
2026/06/21 14:00:57.086181 [QueueManager] POST /qm/ack took 12.011µs
2026/06/21 14:00:57.285763 [QueueManager] POST /qm/lease took 21.471µs
2026/06/21 14:00:57.286120 [QueueManager] POST /qm/ack took 11.761µs
2026/06/21 14:00:57.485691 [QueueManager] POST /qm/lease took 21.481µs
2026/06/21 14:00:57.486015 [QueueManager] POST /qm/ack took 10.67µs
2026/06/21 14:00:57.685713 [QueueManager] POST /qm/lease took 20.641µs
2026/06/21 14:00:57.686104 [QueueManager] POST /qm/ack took 10.24µs
2026/06/21 14:00:57.885674 [QueueManager] POST /qm/lease took 16.761µs
2026/06/21 14:00:57.886068 [QueueManager] POST /qm/ack took 12.391µs
2026/06/21 14:00:57.887228 [QueueManager] POST /brokers/heartbeat took 6.511µs
2026/06/21 14:00:58.085724 [QueueManager] POST /qm/lease took 24.211µs
2026/06/21 14:00:58.086143 [QueueManager] POST /qm/ack took 10.79µs
2026/06/21 14:00:58.285727 [QueueManager] POST /qm/lease took 26.352µs
2026/06/21 14:00:58.286073 [QueueManager] POST /qm/ack took 13.761µs
2026/06/21 14:00:58.485657 [QueueManager] POST /qm/lease took 33.272µs
2026/06/21 14:00:58.486065 [QueueManager] POST /qm/ack took 14.13µs
2026/06/21 14:00:58.685619 [QueueManager] POST /qm/lease took 26.082µs
2026/06/21 14:00:58.685947 [QueueManager] POST /qm/ack took 14.491µs
2026/06/21 14:00:58.885501 [QueueManager] POST /qm/lease took 21.891µs
2026/06/21 14:00:58.885840 [QueueManager] POST /qm/ack took 12.991µs
2026/06/21 14:00:59.085449 [QueueManager] POST /qm/lease took 23.081µs
2026/06/21 14:00:59.085871 [QueueManager] POST /qm/ack took 16.43µs
2026/06/21 14:00:59.285471 [QueueManager] POST /qm/lease took 27.521µs
